term,estimate,std.error,conf.low,conf.high
range,0.738925721498597,0.172789921221227,0.467257580980215,1.16854438347859
sigma_O,3.13608531095691,0.378438420993234,2.47554871128368,3.97286913918159
sigma_E,0.00011740029946175,0.225352485270726,0,Inf
range,0.659602277448171,0.178694029440523,0.387865916798229,1.12171538042396
sigma_O,2.7909545077462,0.353164656618786,2.17792312359084,3.57653903387831
sigma_E,0.000118732795999738,0.181126405339413,0,Inf
range,0.586581244973481,0.129170003927548,0.380966341896585,0.903170488084849
sigma_O,2.77348136031492,0.306431046079682,2.23346597704761,3.44406359222114
sigma_E,1.364778962318e-16,3.2659660879596e-13,0,Inf
range,0.729737928176307,0.152222203278247,0.484850216410463,1.09831330541932
sigma_O,2.89580696414345,0.334623914574633,2.30892233703427,3.63186662412943
sigma_E,0.0002256243243528,0.181647789658877,0,Inf
range,0.608404029774914,0.117684257057422,0.416431176829065,0.888875483014793
sigma_O,2.85249686025681,0.324095922475519,2.283037680344,3.56399651561991
sigma_E,5.39849831984667e-06,,,
range,0.820514199752014,0.191904823005394,0.518804831188924,1.29768173216861
sigma_O,2.70998982539997,0.353448510611553,2.09869969654499,3.49933097425113
sigma_E,2.37827878766619e-17,3.78545265644565e-14,0,Inf
range,0.618466551198088,0.131633618113263,0.407518739861862,0.938609289674667
sigma_O,3.66679352134288,0.452390200348094,2.87918498963188,4.66985441247427
sigma_E,0.00014101610868969,0.202892572407278,0,Inf
range,0.655492608343939,0.142403120824367,0.428201024974046,1.00343188020062
sigma_O,3.36399423600361,0.401082076435587,2.6629820752156,4.24954314382656
sigma_E,0.000118706280288741,0.346300671994155,0,Inf
range,0.558463647595934,0.131099188920098,0.352513357925737,0.884737099102664
sigma_O,3.69229505563627,0.495954780079337,2.83766871066869,4.80431092136313
sigma_E,0.00017565601644682,0.237871964991497,0,Inf
range,0.647927631686785,0.193874676408599,0.360435575344493,1.16473024479341
sigma_O,3.66471174392798,0.659912485395652,2.57491049070507,5.21575884465256
sigma_E,0.000135788529998626,0.166648034656101,0,Inf
range,0.717768555727477,0.130664801061642,0.502376221479282,1.02550972272153
sigma_O,3.11584178773316,0.31343489745419,2.55828930007537,3.79490702865316
sigma_E,0.000152634258024506,0.174189974510665,0,Inf
range,0.611913940315556,0.114135726453796,0.424543401771361,0.881979719364865
sigma_O,2.91087829466733,0.274561671010266,2.41956050570259,3.50196344600399
sigma_E,0.00041280403625165,0.44932301350196,0,Inf
range,0.465165242979312,0.078885601597189,0.333622421075164,0.648573625773349
sigma_O,2.9940396256571,0.262706768096886,2.52098553548453,3.55586065601205
sigma_E,0.000122199064324457,0.142231397457536,0,Inf
range,0.653295030163701,0.119605098150386,0.456322180483178,0.935291806295015
sigma_O,3.1488062790679,0.298892166315897,2.61425454545766,3.79266089460378
sigma_E,0.000174334917456631,0.144342302174898,0,Inf
range,0.544959573748619,0.100060663893057,0.380254337751697,0.78100604657455
sigma_O,3.30194374653684,0.318706061862999,2.732820238226,3.98959007723511
sigma_E,0.000122894614378774,0.1409256873321,0,Inf
range,0.636472592013342,0.134560144095569,0.42055475061203,0.963245236903514
sigma_O,3.01722386321423,0.311812189614399,2.46400113361019,3.69465732648061
sigma_E,1.66439487306226e-05,,,
range,0.559763527707205,0.0967046071842267,0.398980097360272,0.785340444358756
sigma_O,3.33277543415284,0.293897458197644,2.80377847498542,3.96157977300628
sigma_E,0.000237182386192555,0.179515927916495,0,Inf
range,0.63502414716107,0.109050126646856,0.453541303565044,0.889126666761922
sigma_O,3.40955198051132,0.328028106700584,2.82360821039987,4.11708843492927
sigma_E,0.000147452765142659,0.156298352762176,0,Inf
range,0.641538165002193,0.116946047143425,0.448804182182698,0.917039621049787
sigma_O,3.55583909610457,0.340274611808267,2.9477232479531,4.28940935556476
sigma_E,0.000246792923090886,0.222159472473293,0,Inf
range,0.585586832336353,0.11233828724287,0.402066419465556,0.852873857661472
sigma_O,3.169242279939,0.306091401111779,2.62267689018558,3.82971179810192
sigma_E,0.000108199362659031,0.132132049860177,0,Inf
range,0.630882723517116,0.101358290981677,0.460461885093426,0.864377755721558
sigma_O,3.40206190133595,0.314240458394978,2.83869495787491,4.07723455752571
sigma_E,0.000620863514352075,0.49136897435136,0,Inf
range,0.697050154339642,0.131799079661387,0.481191357393962,1.00974157203559
sigma_O,3.37810770974314,0.348052129461313,2.76040473379457,4.13403569372204
sigma_E,0.000260708298221564,0.18608793041622,0,Inf
range,0.497093230475519,0.0819333320189361,0.359864210265498,0.686652555980165
sigma_O,3.16478767942365,0.25924790101287,2.69536288184835,3.71596756907304
sigma_E,1.80568273201533e-10,2.26304057365076e-06,0,Inf
range,0.65408845975553,0.107715891287595,0.473652496852055,0.903260757683695
sigma_O,3.27555250656681,0.304358887414797,2.7301866250214,3.92985744085974
sigma_E,0.000187197990993834,0.18567003890859,0,Inf
range,0.572109550954872,0.100108303158907,0.406008474064915,0.806163809875193
sigma_O,3.46162586911329,0.317454085483463,2.89213986815705,4.14324832268578
sigma_E,0.00207992117757209,0.130846175914351,5.88354852397342e-57,7.3528281228338e+50
range,0.702524065267452,0.129031102804991,0.490143024591805,1.00693070699299
sigma_O,3.30927023967561,0.340171317689857,2.70541745151205,4.04790377658059
sigma_E,0.000181383465800278,0.110292661311338,0,Inf
range,0.600989496805758,0.0971724409756281,0.437762243054392,0.825078866442944
sigma_O,3.51940127778121,0.315555175401102,2.95221980142264,4.19554985305608
sigma_E,0.00024208374837172,0.235495061444347,0,Inf
range,0.657151224415913,0.112359971407083,0.470031053294582,0.918764257647214
sigma_O,3.43569771300537,0.327642300304707,2.84997373016877,4.14179915070701
sigma_E,0.000198143065806009,0.11234239137507,0,Inf
range,0.62849434887867,0.115177906594611,0.438843973414118,0.900103842145449
sigma_O,3.66804420410457,0.346975149199487,3.04730525928385,4.41522825528385
