Year,est,lwr,upr,log_est,se,type
2011,433461.205916579,223710.364614409,839874.439248729,12.9795575808097,0.337480742998113,index
2012,654976.590574406,310582.578080494,1381256.91676527,13.3923547743977,0.380695606315427,index
2013,748905.541142458,390063.472034837,1437867.29536107,13.526368141252,0.332813966341367,index
2014,593111.50260471,303502.056948431,1159073.70796433,13.2931376916781,0.341839967509276,index
2015,703149.786001031,369318.020904979,1338736.78934423,13.4633252149551,0.32853247453318,index
2016,384034.650857124,196715.950621982,749723.713774292,12.8584880641059,0.341318502370411,index
2017,908357.170018898,463644.819758001,1779622.48937755,13.7193929392897,0.343128180502726,index
2018,347330.667158983,154247.715109675,782109.428741466,12.7580325364721,0.414149144637428,index
2019,402711.252881104,159647.726039636,1015838.7921968,12.9059750900327,0.472075070102922,index
2021,198921.830496586,96618.8686667979,409546.242821103,12.200667214961,0.36844446720291,index
2022,625867.726090454,275449.963911006,1422074.64833138,13.3468943275802,0.418749049559844,index
2023,440573.116995876,231947.859349803,836846.142764913,12.9958316969539,0.327334492269592,index
2024,602457.858792444,305505.145973982,1188050.2715057,13.3087729979878,0.346461007171626,index
2003,367906.056307932,195125.780400897,693680.076461251,12.8155829027892,0.323568826003806,index
2004,753625.417169319,310662.284100265,1828195.1124145,13.5326507293418,0.452145569207009,index
2005,709578.86503617,352865.873830826,1426893.90798787,13.4724269251993,0.35642676488795,index
2006,583514.323120849,285635.971799651,1192038.11460416,13.2768242773155,0.364471403431118,index
2007,389636.767947145,189307.603230425,801958.338416579,12.8729702198786,0.368293358553053,index
2008,596085.446251435,322496.837860793,1101771.60678439,13.2981393019652,0.313419377459781,index
2009,1021259.42945061,535299.093129699,1948388.92056384,13.8365471583579,0.329580666383589,index
2010,643238.828389855,357433.118649937,1157576.53322992,13.3742713625464,0.29978500843184,index
2011,1213098.13039586,627467.495562998,2345312.04305576,14.0086880835789,0.336353596306927,index
2012,644445.303838559,351152.801338179,1182703.7917878,13.3761452317221,0.309785535522507,index
