"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2018,2426529.43736751,1491712.39893067,3947171.79707824,14.7019725793704,0.248237877917178,"index",0.1,10
2019,1908968.41845408,1063121.87870813,3427791.76653135,14.4620735590687,0.298655106684303,"index",0.1,10
2021,1648380.33302931,1046760.14892897,2595778.7226596,14.31530374743,0.231684547022539,"index",0.1,10
2022,2072328.82616684,1294389.71196162,3317815.89738824,14.5441835696575,0.240123643204015,"index",0.1,10
2023,1894693.14658738,1229546.28598822,2919664.07498022,14.4545674554647,0.220622252632015,"index",0.1,10
2024,1786445.13717458,1177080.53567189,2711272.62019756,14.3957382463041,0.212856175502805,"index",0.1,10
2003,1625858.33249294,1002464.959497,2636915.42761065,14.3015464389061,0.246725938991046,"index",0.1,2
2004,1642010.36969654,976040.592280146,2762383.1175836,14.3114318842587,0.265398973338497,"index",0.1,2
2005,1596130.64769337,1016344.17341709,2506663.69832234,14.2830929130986,0.230295206207389,"index",0.1,2
2006,900871.357109299,566558.663912589,1432453.9606461,13.7111177484936,0.236627735537057,"index",0.1,2
2007,1300027.40870391,832390.848279726,2030381.84150417,14.0778959058279,0.227472815970843,"index",0.1,2
2008,540733.089500998,326268.117116688,896171.764085432,13.2006810710212,0.257763054595293,"index",0.1,2
2009,827509.76561003,513714.12240865,1332983.42854441,13.6261761875051,0.243246296176554,"index",0.1,2
2010,725599.878571588,458091.019968603,1149324.39369623,13.4947540104341,0.234662900519923,"index",0.1,2
2011,905103.762212488,549166.541809312,1491738.4035673,13.7158048704882,0.254927052280828,"index",0.1,2
2012,906090.020423978,571243.494728791,1437213.95987487,13.7168939403806,0.235373257201163,"index",0.1,2
2013,1185330.1787082,767588.911830718,1830416.79068219,13.985531925562,0.221699138975047,"index",0.1,2
2014,1719202.07687695,1041037.38553694,2839144.70527258,14.3573708323582,0.255944790956868,"index",0.1,2
2015,2232409.02514095,1411641.93184889,3530392.47637213,14.6185918406857,0.233844993462595,"index",0.1,2
2016,1730110.46716743,1081877.09091799,2766748.87908243,14.3636958182894,0.239538932552885,"index",0.1,2
2017,1777608.40325316,1104360.28890465,2861286.9070567,14.390779425159,0.242862944262778,"index",0.1,2
2018,1419274.22451925,889499.112659551,2264577.10380615,14.165656189423,0.238393360588851,"index",0.1,2
2019,1335846.68104849,755649.443907329,2361526.72334544,14.1050758667991,0.2906905546266,"index",0.1,2
2021,1609823.06779711,983372.822088357,2635348.72166606,14.2916348351435,0.251479742553331,"index",0.1,2
2022,1676213.42555556,1041717.09717527,2697173.21106804,14.3320478941338,0.242691668461692,"index",0.1,2
2023,1394470.91396369,870971.88835284,2232619.85363064,14.148025628151,0.240137396243002,"index",0.1,2
2024,1403876.10495222,885152.397988923,2226586.2042894,14.1547476153381,0.235327030850396,"index",0.1,2
2003,2358662.06262742,1386182.20662677,4013387.77765436,14.6736050936249,0.271199463619419,"index",0.1,3
2004,3111132.03482196,1745329.89811785,5545738.11434351,14.9504972162591,0.29492535153996,"index",0.1,3
2005,2090552.05622212,1228304.57584114,3558081.59127121,14.5529387307948,0.271328122416714,"index",0.1,3
2006,2244025.18509499,1341294.10613724,3754321.29933281,14.6237817688661,0.262574371869603,"index",0.1,3
2007,1624565.09127229,977125.070077682,2700996.84943169,14.3007507017849,0.259382707312011,"index",0.1,3
2008,942615.852787122,557041.463812414,1595078.11114184,13.7564141114792,0.268382050983922,"index",0.1,3
2009,1139320.65176504,672989.073628754,1928785.47126959,13.9459427232357,0.268606134711969,"index",0.1,3
2010,1275526.61400421,771373.132491762,2109184.3551479,14.0588696818925,0.256607872007543,"index",0.1,3
2011,1230565.65410331,745672.743692384,2030772.67054219,14.0229845030204,0.255587554369451,"index",0.1,3
2012,989879.736673926,618214.092554873,1584987.95947566,13.8053387366246,0.240182286923625,"index",0.1,3
2013,1653906.09096477,985972.436091769,2774322.34168033,14.3186503760281,0.263916430197917,"index",0.1,3
2014,1803304.1049273,1097038.25251278,2964259.16543851,14.4051311540346,0.253579427578072,"index",0.1,3
2015,1913065.97244158,1149194.31340688,3184684.58485841,14.464217734206,0.260028286466929,"index",0.1,3
2016,2253311.6969099,1381194.19759874,3676104.06433668,14.6279115573419,0.249725259085895,"index",0.1,3
2017,2372593.11456194,1464148.01223867,3844691.95751576,14.6794940561405,0.246285130899917,"index",0.1,3
2018,4188112.89455014,2556588.97987232,6860817.18867974,15.2477608072831,0.251829274890667,"index",0.1,3
2019,2125861.2962448,1173609.0828035,3850759.43692939,14.5696875941023,0.303114421357052,"index",0.1,3
2021,1965443.99894369,1194810.57623505,3233123.46728326,14.4912287314227,0.253948806292596,"index",0.1,3
