"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2013,1222333.88879565,711699.164904855,2099342.26338181,14.0162726128131,0.275955087528918,"index",0.1,10
2014,1534784.30730966,944808.954771879,2493163.15014472,14.2439004127194,0.247536380653403,"index",0.1,10
2015,1362157.25671301,849702.485061125,2183673.02042484,14.1245802191683,0.240789460046198,"index",0.1,10
2016,1748366.56196113,1083315.4263437,2821694.91973428,14.374192516852,0.244216620639587,"index",0.1,10
2017,2040032.07400044,1253350.34812985,3320484.86615121,14.528476088246,0.248548080397005,"index",0.1,10
2018,2051876.59668037,1251841.77174486,3363202.65310868,14.5342653453944,0.252116317969161,"index",0.1,10
2019,2135223.78032494,1190645.20018931,3829168.0773922,14.5740820142926,0.298003491751991,"index",0.1,10
2021,3249180.16010882,2017964.66264127,5231593.94626204,14.9939132640554,0.24302145302145,"index",0.1,10
2022,5528555.22749218,3395454.76509615,9001717.00640092,15.5254370785126,0.248723354574982,"index",0.1,10
2023,3365776.08200899,2144660.46043282,5282164.16688057,15.0291691280528,0.229941635304355,"index",0.1,10
2024,3617814.30607101,2288317.70548086,5719739.14367876,15.1013806185984,0.233704875742006,"index",0.1,10
2003,2970880.7621756,1919295.71020365,4598630.87076277,14.9043690197368,0.222912341285544,"index",0.1,2
2004,4460386.07053039,2591300.40975102,7677629.27961452,15.3107458831491,0.277084421476353,"index",0.1,2
2005,2069407.5384748,1292983.44926304,3312066.80390009,14.5427729109775,0.239958518256352,"index",0.1,2
2006,2045897.71531273,1314394.10815146,3184507.16992984,14.5313472317283,0.225749489307787,"index",0.1,2
2007,2055136.21473681,1213429.40526956,3480700.93141059,14.5358526882592,0.268827164395782,"index",0.1,2
2008,1255193.98592981,786710.451426595,2002657.95307203,14.0428006890652,0.238364147184541,"index",0.1,2
2009,1429443.52183816,870094.528164872,2348375.62584681,14.1727957809316,0.253289676267474,"index",0.1,2
2010,1981779.2668387,1260345.36186504,3116168.9337754,14.4995056187693,0.230927345732452,"index",0.1,2
2011,1619235.96499597,996054.498965085,2632310.89569962,14.2974649694121,0.247916655784834,"index",0.1,2
2012,1442731.69453932,918197.28398902,2266914.50598234,14.1820488845976,0.230555936406122,"index",0.1,2
2013,1313762.53742469,789610.075298113,2185853.57347287,14.0884057443625,0.259755394158091,"index",0.1,2
2014,1344266.64688309,868854.789267893,2079809.92939562,14.1113591783654,0.222671381964601,"index",0.1,2
2015,1544574.1332918,968109.499157545,2464296.91611349,14.2502587884354,0.238350456077091,"index",0.1,2
2016,1718392.28749852,1090491.87090503,2707834.99860824,14.3568996950991,0.232024817065996,"index",0.1,2
2017,1774262.57806524,1100203.57059051,2861295.65479696,14.3888954455915,0.243825735851013,"index",0.1,2
2018,2585292.3516086,1568268.07525125,4261858.44675511,14.7653491549297,0.255038728891944,"index",0.1,2
