"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2009,221841.662570537,96246.3235601765,511330.941605162,12.3097191747195,0.426055339109864,"index",0.1,10
2010,360467.467091472,161340.444565183,805357.857922886,12.7951569877832,0.410152951881549,"index",0.1,10
2011,294710.850298247,120641.919508945,719936.201587678,12.5937499861622,0.455706277790428,"index",0.1,10
2012,686897.989994901,315496.030901666,1495514.37243309,13.4399410740001,0.396966321624436,"index",0.1,10
2013,534851.303004787,227638.302597474,1256668.64082957,13.1897440489373,0.435840045790383,"index",0.1,10
2014,799688.274200396,355267.564429756,1800055.5072346,13.5919772734644,0.413962089445966,"index",0.1,10
2015,724342.218190328,350912.576625956,1495163.42246161,13.4930192367497,0.369765383692212,"index",0.1,10
2016,949586.423534802,364518.725163324,2473712.08531907,13.7637818251396,0.488503172196168,"index",0.1,10
2017,480617.772427304,225685.623414285,1023518.64367078,13.0828275812664,0.38568531065771,"index",0.1,10
2018,811198.749370794,338486.798004874,1944074.08164635,13.6062683701152,0.445940847841202,"index",0.1,10
2019,649759.869287139,245305.984736879,1721066.39872195,13.3843581417491,0.496997149876671,"index",0.1,10
2021,340670.01925196,126259.073588457,919189.8745861,12.7386696022777,0.506426850464774,"index",0.1,10
2022,261430.676855583,105667.274159291,646803.841065666,12.4739244292758,0.462189062199555,"index",0.1,10
2023,220593.96381885,92333.6318922271,527020.28368288,12.3040790228653,0.444352702268515,"index",0.1,10
2024,615105.317709242,283190.103668211,1336044.39905666,13.329548780435,0.395759866526501,"index",0.1,10
2003,579474.200783595,247034.08114404,1359287.54372152,13.2698764209842,0.435005357893002,"index",0.1,2
2004,743679.057643919,302141.733008653,1830460.60956534,13.5193648466121,0.459556069833574,"index",0.1,2
2005,272838.332828773,80310.2431490734,926914.836039106,12.5166347113145,0.623982005869457,"index",0.1,2
2006,786943.840910972,246383.512894719,2513482.3408916,13.5759121664175,0.592494341287862,"index",0.1,2
2007,416138.12732229,176844.86757394,979225.144540305,12.9387725209638,0.4366122820894,"index",0.1,2
2008,309889.334251949,115623.442942671,830553.017961339,12.6439705264425,0.503007466431374,"index",0.1,2
2009,326879.430351321,147007.13497718,726836.57159491,12.6973466673655,0.407716811036372,"index",0.1,2
2010,844440.330283674,366294.494237303,1946738.16458632,13.646429355876,0.426148870365716,"index",0.1,2
2011,445708.180105851,191133.633449199,1039355.44063244,13.0074197121561,0.431993447268146,"index",0.1,2
2012,633251.054039074,297446.289626471,1348165.74093151,13.3586222323538,0.385534269872362,"index",0.1,2
2013,778853.407423361,360754.49292525,1681510.95038662,13.5655781266869,0.392673131648235,"index",0.1,2
2014,1130394.32587781,474586.949977744,2692428.29377562,13.9380770907696,0.442802506523546,"index",0.1,2
2015,1379725.33430372,611726.553460387,3111916.57015879,14.1373950042104,0.414984334942542,"index",0.1,2
2016,1311660.35548756,584231.719664838,2944812.52942707,14.0868043395816,0.412635835453606,"index",0.1,2
2017,815698.387178287,365903.992126843,1818411.03995008,13.6117999420626,0.409024699947007,"index",0.1,2
2018,834236.424932251,359817.336962185,1934176.98702185,13.6342721242993,0.429048873651228,"index",0.1,2
2019,434958.94800881,153097.862807726,1235740.87177515,12.9830069332239,0.532751784912901,"index",0.1,2
2021,655095.517849961,264558.323455718,1622138.10513106,13.392536332764,0.462620399856653,"index",0.1,2
2022,320141.364671562,120421.00283414,851101.476998441,12.6765179418253,0.498870750049586,"index",0.1,2
2023,357868.88085678,136570.415474136,937758.997371863,12.7879219437052,0.491502051277237,"index",0.1,2
2024,389893.977097262,167577.151739766,907148.210830025,12.8736301275502,0.430840057577141,"index",0.1,2
2003,8963924.88494455,17681.7486113433,4544344063.99039,16.008718734232,3.17782905640285,"index",0.1,3
2004,256656502.782482,22177.2168053587,2970280761498.32,19.363249183811,4.77377568504194,"index",0.1,3
2005,-8048199.66463654,NA,NA,NA,2.47473570103481,"index",0.1,3
2006,292012463.902271,119103.096091259,715945108672.392,19.4923070439184,3.98199270738944,"index",0.1,3
2007,130274937.719253,44703.1999179679,379649766211.339,18.6851576806881,4.07015505337918,"index",0.1,3
2008,6342708.24416355,57316.6696789808,701889137.940149,15.6628164030523,2.40130413641701,"index",0.1,3
2009,3744613.65618372,16391.6725010528,855442385.95403,15.1358290070441,2.77112249988279,"index",0.1,3
2010,-14747835.1958079,NA,NA,NA,2.14351654438896,"index",0.1,3
2011,-89807.2216729556,NA,NA,NA,2.48175404420016,"index",0.1,3
2012,-29662379.0801901,NA,NA,NA,2.04721586870015,"index",0.1,3
2013,-12643947.025933,NA,NA,NA,2.62571072693618,"index",0.1,3
2014,-234188968.954447,NA,NA,NA,1.98146410342399,"index",0.1,3
2015,496166.827748468,4935.74695956405,49877257.2773304,13.1146674954224,2.35229230321955,"index",0.1,3
2016,-86319061.1304504,NA,NA,NA,2.24575435301497,"index",0.1,3
2017,36656761.4732297,101633.761406764,13221179095.4717,17.4171084569546,3.0041253039135,"index",0.1,3
2018,48992687.2606684,79633.610699077,30141587000.142,17.7071816053594,3.27658575787095,"index",0.1,3
2019,-39946418.662591,NA,NA,NA,2.53639833383211,"index",0.1,3
2021,14213071.7694549,48294.319544255,4182922774.9769,16.4696726462725,2.90036116284127,"index",0.1,3
2022,49511793.7716655,1476.48541179915,1660306091003.51,17.7177214571734,5.31657812005232,"index",0.1,3
2023,35302228.1235263,57342.0110746625,21733582187.4612,17.3794566395582,3.27693155516716,"index",0.1,3
2024,11645819.8891217,97488.6621551184,1391188656.11329,16.2704578657883,2.4403338729079,"index",0.1,3
2003,1354493.92487317,514450.60750319,3566238.94648029,14.1189384553538,0.493929293756233,"index",0.1,4
2004,925642.345037721,308425.489801165,2778025.09604282,13.7382432025595,0.560728483899551,"index",0.1,4
2005,477034.24318807,145762.509792214,1561181.05745027,13.075343555948,0.604913985303883,"index",0.1,4
2006,844509.440999614,308353.307204306,2312918.91241152,13.6465111945631,0.514045001163216,"index",0.1,4
2007,472979.180072556,147172.626124066,1520046.97254991,13.0668066497454,0.595646223502888,"index",0.1,4
2008,602877.413069337,214169.604883899,1697071.69878848,13.3094691599664,0.5280431894863,"index",0.1,4
2009,401503.292672982,150260.636385971,1072835.16098762,12.9029710132643,0.501460424717287,"index",0.1,4
2010,577656.451260459,211194.662970012,1579997.1977995,13.2667345959618,0.513376288254247,"index",0.1,4
2011,669182.998235449,278891.368115196,1605664.1987658,13.4138128416684,0.446556786340903,"index",0.1,4
2012,841128.017069914,314600.868891731,2248869.63469719,13.6424991474301,0.501763871015624,"index",0.1,4
2013,1542925.60658538,610045.129721211,3902366.08977571,14.2491909166933,0.473428444323498,"index",0.1,4
2014,672736.485725121,296278.484603265,1527530.35655563,13.4191089802791,0.41840251625983,"index",0.1,4
2015,991395.808700291,413798.486454565,2375227.75380287,13.8068691369021,0.445791227380181,"index",0.1,4
2016,973790.557015042,335859.700973654,2823405.26768364,13.7889515256361,0.543123618043244,"index",0.1,4
2017,979842.720397943,330415.59597338,2905709.56219085,13.7951473483771,0.554622857423585,"index",0.1,4
2018,892494.634618431,270494.921541319,2944774.96392113,13.7017757809859,0.609076078769116,"index",0.1,4
2019,919439.834633791,296730.966995962,2848942.99395087,13.7315198881873,0.577020151834441,"index",0.1,4
2021,323847.503543385,119113.27763452,880482.912014914,12.6880280158995,0.510314368826119,"index",0.1,4
2022,459849.884587145,158957.138945618,1330307.76571259,13.0386553773515,0.541982152349439,"index",0.1,4
2023,400022.368009047,129103.657759432,1239452.83723671,12.8992757445493,0.577002865499281,"index",0.1,4
2024,334218.855318088,112666.484547768,991441.631453172,12.7195513128161,0.554787767549444,"index",0.1,4
2003,418717.573750511,154812.559564184,1132494.72175302,12.9449519233034,0.507652977386111,"index",0.1,5
2004,768814.686063664,326275.986695183,1811582.97150251,13.552605239036,0.437307194746562,"index",0.1,5
2005,505278.56283616,195085.939119829,1308686.96746492,13.1328651657534,0.485554693537637,"index",0.1,5
2006,405481.870014942,133557.262844438,1231049.09017429,12.9128314413406,0.56661543277331,"index",0.1,5
2007,322189.824798391,130920.059836245,792898.226088947,12.6828961688365,0.459474760904074,"index",0.1,5
2008,356365.342943614,141850.658814301,895281.40872136,12.7837117278292,0.469999270611969,"index",0.1,5
2009,187337.156365101,77593.4195588247,452296.217314617,12.1406652476424,0.449716092499155,"index",0.1,5
2010,295908.467511166,136100.28602345,643362.506451457,12.5978054541031,0.396261446650868,"index",0.1,5
2011,219484.043273849,98707.2510976883,488041.605009957,12.2990348130638,0.407722351333352,"index",0.1,5
2012,302038.027772267,146500.513498569,622707.511680165,12.6183082082055,0.369151678995,"index",0.1,5
2013,564779.260129991,235433.291040343,1354844.98077343,13.2441902437539,0.446440528278023,"index",0.1,5
2014,575544.503108236,258277.441126394,1282541.26110844,13.2630718336213,0.408824958322157,"index",0.1,5
2015,651457.472173628,298857.350503891,1420064.91503487,13.38696739663,0.39758166622574,"index",0.1,5
2016,501596.675295435,219567.199001298,1145887.11707319,13.12555164008,0.421506740001534,"index",0.1,5
2017,681365.545248443,321816.468877292,1442620.40992292,13.431854218282,0.382720057408736,"index",0.1,5
2018,798053.943940509,366841.694100598,1736144.2488169,13.5899314730702,0.396561261557623,"index",0.1,5
2019,707912.505289014,273118.481445837,1834881.74250102,13.4700757849389,0.485934851081018,"index",0.1,5
2021,259804.638992857,119623.22540948,564258.739982607,12.4676852390748,0.395712855521739,"index",0.1,5
2022,264467.445220476,100780.214899769,694015.483604667,12.4854734422536,0.492241753045493,"index",0.1,5
2023,270867.712995541,108139.82883646,678467.117368858,12.5093858367529,0.468480780186103,"index",0.1,5
2024,463396.025082106,198316.340803997,1082794.66629594,13.0463373132183,0.433027649662047,"index",0.1,5
2003,842296.561471735,384615.364803917,1844605.18842975,13.6438874419868,0.399950400488495,"index",0.1,6
2004,700608.042751998,296568.633074359,1655102.9840223,13.4597038694855,0.438615162394895,"index",0.1,6
2005,706722.346516045,304902.461447974,1638086.07084783,13.4683931471158,0.428908871711354,"index",0.1,6
2006,542618.751850606,197694.802810517,1489341.68058082,13.2041622378627,0.515153607554115,"index",0.1,6
2007,608023.082153902,260107.508753265,1421304.86814441,13.3179681242966,0.433231330400657,"index",0.1,6
2008,615084.452694682,262858.128228434,1439289.27173191,13.3295148588157,0.433755485459718,"index",0.1,6
2009,597577.025553218,276532.053450624,1291345.06113518,13.300638467539,0.393148269412611,"index",0.1,6
2010,615763.647578483,292863.377187615,1294681.74996922,13.3306184798922,0.379168696957575,"index",0.1,6
2011,526859.001467762,241269.791138137,1150497.98036539,13.1746882423287,0.398485480777745,"index",0.1,6
