"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2008,1029210.6589008,747107.722753193,1417833.79843999,13.8443027158274,0.163440786396985,"index",0.2,6
2009,938849.560344012,681212.954455729,1293925.03649962,13.7524105327288,0.163666419668241,"index",0.2,6
2010,719644.122424423,522652.068296397,990884.17391725,13.4865120943879,0.163187097636366,"index",0.2,6
2011,934056.671705096,672034.784300402,1298239.14823851,13.747292391714,0.167976051495579,"index",0.2,6
2012,1026659.42230241,735555.198046077,1432971.41017048,13.8418208100578,0.170125547281049,"index",0.2,6
2013,1108813.49852812,775412.430613916,1585565.72731852,13.9188010813409,0.182478223499968,"index",0.2,6
2014,944924.381485536,679547.647422234,1313935.9544733,13.7588601836821,0.168205923613525,"index",0.2,6
2015,1060362.90598578,757264.500955924,1484777.76387414,13.8741217716325,0.171765346754223,"index",0.2,6
2016,1069800.03377045,774267.592255851,1478135.10949205,13.8829823046464,0.164956850200093,"index",0.2,6
2017,1211434.96008072,861071.802462582,1704358.05505261,14.0073161323504,0.174178179213978,"index",0.2,6
2018,1259254.4909434,919679.49395204,1724211.40559192,14.0460304299652,0.160334536886828,"index",0.2,6
2019,1061491.46943127,663143.170332207,1699126.50855002,13.875185523759,0.240024479239559,"index",0.2,6
2021,1625069.7374445,1171591.27098864,2254072.48837683,14.3010612881756,0.166935641345046,"index",0.2,6
2022,1608967.93297859,1159884.95096547,2231926.370972,14.2911034959926,0.166978638695591,"index",0.2,6
2023,1561870.05804939,1103914.69222895,2209806.69557507,14.2613944164523,0.177054878501719,"index",0.2,6
2024,1365234.10626074,977895.772092165,1905994.70627621,14.1268364783138,0.170247060716923,"index",0.2,6
2003,938646.546719942,650369.922208223,1354701.85441201,13.7521942727599,0.187196134508006,"index",0.2,7
2004,1379585.92692713,906647.344615421,2099225.61520623,14.1372939591571,0.214180017682621,"index",0.2,7
2005,1347926.47471074,932701.748342987,1948002.97571435,14.1140780249837,0.187879608338971,"index",0.2,7
2006,1443024.60609305,987065.57517323,2109606.56127083,14.1822518896502,0.193758731057487,"index",0.2,7
2007,1185468.02006179,835328.215834601,1682373.94589276,13.9856482082164,0.178609510951088,"index",0.2,7
2008,1548731.70935931,1093499.07790868,2193481.41761792,14.2529469019183,0.177581643750968,"index",0.2,7
2009,1057462.07905874,738804.803146337,1513560.88087823,13.8713823302135,0.182959128063092,"index",0.2,7
2010,1198711.14163345,841698.325307621,1707153.68900255,13.9967574889159,0.180401551335583,"index",0.2,7
2011,1287292.4147548,895749.258225473,1849983.96132428,14.0680516672625,0.185021695837497,"index",0.2,7
2012,1541324.27489974,1070563.99817079,2219092.48251801,14.2481525236376,0.185950536769577,"index",0.2,7
2013,1153657.20416304,772311.686791344,1723300.27821638,13.9584476318034,0.204750775052848,"index",0.2,7
2014,1157437.68746137,808146.759712146,1657696.43230778,13.9617192297668,0.183279018534641,"index",0.2,7
2015,1515133.14926944,1068377.7525841,2148704.85131561,14.2310138803703,0.178249164902892,"index",0.2,7
2016,1785994.51470993,1249050.85481485,2553760.23664527,14.3954859691428,0.182447977238164,"index",0.2,7
2017,1756702.99267095,1246115.69896905,2476499.90046046,14.3789493105754,0.17521111762772,"index",0.2,7
2018,1589697.28533352,1118023.45461102,2260361.75589537,14.2790541694879,0.179585574381741,"index",0.2,7
2019,2047038.67520636,1289956.25550647,3248456.93015021,14.5319047580684,0.235609376707006,"index",0.2,7
2021,1953246.45179159,1377848.35146104,2768934.40224458,14.4850033932909,0.178049046452741,"index",0.2,7
2022,2388364.37289721,1633858.18937617,3491297.1118397,14.6861193268201,0.193709969461912,"index",0.2,7
2023,2119045.8002682,1473370.51734723,3047675.41549502,14.5664764511123,0.185418329567818,"index",0.2,7
2024,1828153.67580569,1288544.88957462,2593736.4614943,14.4188170951901,0.178469069254158,"index",0.2,7
2003,1537513.96808672,1140807.45187057,2072171.94995145,14.245677363556,0.152263258480532,"index",0.4,1
2004,1810304.97235694,1314898.12461136,2492363.50071524,14.4090058820635,0.163133677848727,"index",0.4,1
2005,1610429.63137402,1203935.65995837,2154171.26002992,14.2920115531471,0.148423690736945,"index",0.4,1
2006,1465441.03864662,1107503.37545834,1939061.75397519,14.1976668053975,0.142884246288086,"index",0.4,1
2007,1429615.75763194,1095759.27982909,1865191.79174859,14.1729162651728,0.135695441394006,"index",0.4,1
2008,1452786.77143867,1103609.35299259,1912442.47572209,14.1889941812251,0.140256447118365,"index",0.4,1
2009,1227014.73053296,939019.468182821,1603337.5238305,14.0200947289453,0.13648375183974,"index",0.4,1
2010,1109041.01606477,846945.593872865,1452244.37580415,13.9190062503779,0.137560952573505,"index",0.4,1
2011,1135911.25647789,866493.393081149,1489098.92781184,13.9429457559141,0.13813314671859,"index",0.4,1
2012,1510675.96789218,1153042.9879165,1979233.99550845,14.2280677694766,0.137835536528128,"index",0.4,1
2013,1663460.0629834,1237589.05269673,2235879.00612984,14.3244103663277,0.15088778980092,"index",0.4,1
2014,1244066.88561062,951522.393285846,1626553.85390173,14.0338963174039,0.136776909860239,"index",0.4,1
2015,1380376.58394715,1059970.34772203,1797634.7334664,14.1378669068247,0.134755238901437,"index",0.4,1
2016,1851397.82580372,1425678.24490371,2404240.87387422,14.431451493262,0.133315344330773,"index",0.4,1
2017,1622904.00730687,1245478.4133646,2114703.38519763,14.2997276995269,0.135052184521293,"index",0.4,1
2018,1905767.91894013,1468398.98701797,2473409.06182262,14.4603955923723,0.133018950184021,"index",0.4,1
2019,1539594.92865691,1067739.44102643,2219972.82601775,14.2470299064508,0.186725679490526,"index",0.4,1
2021,2010218.76425672,1536311.97030779,2630311.78450052,14.5137541120515,0.137175395280986,"index",0.4,1
2022,1911137.33737122,1450946.44614038,2517285.13620204,14.4632090873964,0.14055486051095,"index",0.4,1
2023,2248746.94477899,1701493.0664965,2972014.94453652,14.6258837056152,0.142281699988352,"index",0.4,1
2024,2195029.30269871,1677069.46874161,2872960.08275751,14.6017059541511,0.137322671188432,"index",0.4,1
2003,1553343.58266033,1158038.29404339,2083589.37541459,14.2559203156911,0.14984066662309,"index",0.4,10
2004,1720165.89235051,1249143.85490003,2368798.98628075,14.3579312931797,0.163249088844085,"index",0.4,10
2005,1936637.33980819,1478606.71827426,2536552.91808547,14.4764636970891,0.137682581644525,"index",0.4,10
2006,1689973.52479268,1298820.82834353,2198925.71182635,14.3402234209734,0.134316787125656,"index",0.4,10
2007,1608579.71649787,1249672.36968663,2070565.66752547,14.2908621839594,0.128813700291613,"index",0.4,10
2008,1445729.64863547,1105923.65788841,1889944.39357092,14.1841246992383,0.136703157857519,"index",0.4,10
2009,1133394.75210273,874139.992194755,1469539.97707934,13.9407278924817,0.132518800642973,"index",0.4,10
2010,1318972.24999213,1022077.18736171,1702109.9949799,14.0923633928065,0.130112503153097,"index",0.4,10
2011,1454064.69936593,1124591.44571535,1880064.22954537,14.1898734335863,0.131095809573442,"index",0.4,10
2012,1316167.86206335,1012910.62988854,1710217.85141994,14.0902349374924,0.133623058091361,"index",0.4,10
2013,1353425.86122184,1003061.31771289,1826171.07197468,14.1181496109336,0.15285097782984,"index",0.4,10
2014,1342562.30969032,1036187.64672174,1739524.26580613,14.1100905174652,0.132161462113066,"index",0.4,10
2015,1526526.03796137,1184068.291506,1968029.8520706,14.238505148307,0.129613798473451,"index",0.4,10
2016,1652212.72229988,1271235.46653117,2147365.26127486,14.3176259912987,0.133740313347914,"index",0.4,10
2017,1914363.10848085,1492403.342129,2455627.11343466,14.464895544852,0.127041714570759,"index",0.4,10
2018,1959712.44925688,1527545.3337355,2514146.58469141,14.488308310881,0.127112367814951,"index",0.4,10
2019,2135472.0378983,1519174.54588348,3001788.59434054,14.5741982752413,0.17373818832137,"index",0.4,10
2021,2170990.07638344,1672479.22023374,2818090.56563146,14.5906938778612,0.133102563815511,"index",0.4,10
2022,2057513.72787331,1571061.40163456,2694587.7073822,14.5370088836245,0.1376284895291,"index",0.4,10
2023,2652469.86510299,2030989.12156793,3464123.12629619,14.7910017884644,0.136210821329884,"index",0.4,10
2024,2273608.1361718,1755242.10801611,2945060.3613363,14.63687861486,0.132023475047563,"index",0.4,10
